user_id,id_transaction,id_store,id_product,date,unique_id
326,25815,2,144,2019-06-14 16:27:30,0
326,25815,2,117,2019-06-14 16:27:30,1
326,25815,2,105,2019-06-14 16:27:30,2
326,25815,2,111,2019-06-14 16:27:30,3
326,25815,2,138,2019-06-14 16:27:30,4
542,25816,3,74,2019-06-10 14:16:10,5
542,25816,3,96,2019-06-10 14:16:10,6
542,25816,3,4,2019-06-10 14:16:10,7
525,25817,2,27,2019-06-26 14:11:09,8
525,25817,2,47,2019-06-26 14:11:09,9
525,25817,2,172,2019-06-26 14:11:09,10
609,25818,4,74,2019-06-04 13:00:43,11
609,25818,4,60,2019-06-04 13:00:43,12
609,25818,4,101,2019-06-04 13:00:43,13
609,25818,4,177,2019-06-04 13:00:43,14
609,25818,4,165,2019-06-04 13:00:43,15
763,25819,0,126,2019-06-23 19:04:30,16
987,25820,2,61,2019-06-21 09:44:45,17
987,25820,2,124,2019-06-21 09:44:45,18
640,25821,2,54,2019-06-04 18:32:24,19
155,25822,3,4,2019-06-28 19:59:22,20
155,25822,3,1,2019-06-28 19:59:22,21
155,25822,3,88,2019-06-28 19:59:22,22
155,25822,3,19,2019-06-28 19:59:22,23
354,25823,1,120,2019-06-07 15:50:15,24
354,25823,1,82,2019-06-07 15:50:15,25
354,25823,1,135,2019-06-07 15:50:15,26
250,25824,2,64,2019-06-03 10:25:44,27
41,25825,1,179,2019-06-20 19:26:51,28
41,25825,1,49,2019-06-20 19:26:51,29
41,25825,1,175,2019-06-20 19:26:51,30
41,25825,1,120,2019-06-20 19:26:51,31
719,25826,3,15,2019-06-04 14:51:47,32
719,25826,3,37,2019-06-04 14:51:47,33
719,25826,3,75,2019-06-04 14:51:47,34
719,25826,3,138,2019-06-04 14:51:47,35
738,25827,3,10,2019-06-26 20:09:49,36
738,25827,3,120,2019-06-26 20:09:49,37
680,25828,4,153,2019-07-01 17:33:04,38
680,25828,4,119,2019-07-01 17:33:04,39
680,25828,4,171,2019-07-01 17:33:04,40
680,25828,4,172,2019-07-01 17:33:04,41
48,25829,1,135,2019-06-07 10:03:25,42
48,25829,1,73,2019-06-07 10:03:25,43
856,25831,4,30,2019-06-22 10:15:10,48
856,25831,4,45,2019-06-22 10:15:10,49
856,25831,4,47,2019-06-22 10:15:10,50
856,25831,4,114,2019-06-22 10:15:10,51
856,25831,4,178,2019-06-22 10:15:10,52
650,25832,0,59,2019-06-18 15:02:53,53
650,25832,0,21,2019-06-18 15:02:53,54
650,25832,0,41,2019-06-18 15:02:53,55
650,25832,0,143,2019-06-18 15:02:53,56
42,25833,1,17,2019-07-01 21:30:35,57
42,25833,1,77,2019-07-01 21:30:35,58
48,25834,3,38,2019-06-07 20:50:50,59
215,25835,4,178,2019-06-26 21:44:23,60
215,25835,4,161,2019-06-26 21:44:23,61
215,25835,4,83,2019-06-26 21:44:23,62
215,25835,4,26,2019-06-26 21:44:23,63
943,25836,0,149,2019-06-09 22:35:47,64
943,25836,0,3,2019-06-09 22:35:47,65
507,25837,4,17,2019-06-18 10:51:16,66
507,25837,4,23,2019-06-18 10:51:16,67
47,25838,1,78,2019-06-28 22:16:04,68
694,25839,3,120,2019-06-01 15:13:50,69
694,25839,3,14,2019-06-01 15:13:50,70
694,25839,3,43,2019-06-01 15:13:50,71
510,25840,2,26,2019-06-30 17:46:15,72
510,25840,2,154,2019-06-30 17:46:15,73
510,25840,2,105,2019-06-30 17:46:15,74
510,25840,2,191,2019-06-30 17:46:15,75
896,25841,0,163,2019-06-24 15:17:13,76
896,25841,0,58,2019-06-24 15:17:13,77
896,25841,0,64,2019-06-24 15:17:13,78
796,25843,3,74,2019-06-25 21:17:43,83
859,25844,2,72,2019-06-10 14:28:37,84
859,25844,2,168,2019-06-10 14:28:37,85
859,25844,2,112,2019-06-10 14:28:37,86
317,25845,0,10,2019-06-30 17:56:32,87
317,25845,0,63,2019-06-30 17:56:32,88
317,25845,0,18,2019-06-30 17:56:32,89
317,25845,0,120,2019-06-30 17:56:32,90
317,25845,0,35,2019-06-30 17:56:32,91
475,25846,4,40,2019-06-21 17:33:29,92
475,25846,4,100,2019-06-21 17:33:29,93
867,25847,2,63,2019-06-05 23:53:44,94
535,25848,4,78,2019-06-20 17:19:26,95
535,25848,4,109,2019-06-20 17:19:26,96
535,25848,4,25,2019-06-20 17:19:26,97
535,25848,4,168,2019-06-20 17:19:26,98
560,25849,2,114,2019-06-04 13:39:22,99
560,25849,2,154,2019-06-04 13:39:22,100
560,25849,2,22,2019-06-04 13:39:22,101
560,25849,2,112,2019-06-04 13:39:22,102
560,25849,2,36,2019-06-04 13:39:22,103
637,25850,1,29,2019-06-11 16:41:18,104
637,25850,1,101,2019-06-11 16:41:18,105
637,25850,1,102,2019-06-11 16:41:18,106
178,25851,4,41,2019-06-18 15:55:25,107
